Target: FINCH

Observer: NapaneeImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
16 Sep 2024 01:16:51.086    16 Sep 2024 01:18:19.213      88.127104472    
20 Sep 2024 13:52:59.893    20 Sep 2024 13:54:13.531      73.637962458    
21 Sep 2024 13:42:40.721    21 Sep 2024 13:43:54.476      73.755072942    
24 Sep 2024 01:28:49.428    24 Sep 2024 01:30:08.087      78.659001470    
25 Sep 2024 01:18:22.604    25 Sep 2024 01:19:51.183      88.579489617    
29 Sep 2024 13:53:39.804    29 Sep 2024 13:54:52.351      72.547165153    
30 Sep 2024 13:43:08.361    30 Sep 2024 13:44:26.127      77.766288235    
03 Oct 2024 01:29:02.394    03 Oct 2024 01:30:14.866      72.471586894    
04 Oct 2024 01:18:23.615    04 Oct 2024 01:19:47.983      84.367887536    
08 Oct 2024 13:52:41.549    08 Oct 2024 13:54:00.726      79.176517774    
09 Oct 2024 13:42:01.941    09 Oct 2024 13:43:20.148      78.207051032    
12 Oct 2024 01:27:25.671    12 Oct 2024 01:28:40.348      74.676909938    
13 Oct 2024 01:16:39.768    13 Oct 2024 01:17:55.559      75.790447765    
17 Oct 2024 13:49:52.741    17 Oct 2024 13:51:22.198      89.457051305    
18 Oct 2024 13:39:09.879    18 Oct 2024 13:40:18.779      68.900225381    
21 Oct 2024 01:23:46.600    21 Oct 2024 01:25:07.472      80.871703837    
22 Oct 2024 01:13:01.519    22 Oct 2024 01:13:54.006      52.487211849    
25 Oct 2024 13:56:20.742    25 Oct 2024 13:57:30.196      69.454240054    
26 Oct 2024 13:45:03.318    26 Oct 2024 13:46:36.685      93.367663329    
29 Oct 2024 01:29:20.635    29 Oct 2024 01:30:22.485      61.850194156    
30 Oct 2024 01:17:59.726    30 Oct 2024 01:19:17.352      77.625909168    
03 Nov 2024 13:49:21.252    03 Nov 2024 13:50:56.557      95.304942853    
04 Nov 2024 13:38:12.952    04 Nov 2024 13:39:22.812      69.859707705    
06 Nov 2024 01:33:15.242    06 Nov 2024 01:33:38.966      23.724475899    
07 Nov 2024 01:21:18.697    07 Nov 2024 01:22:42.006      83.308911498    
08 Nov 2024 01:10:27.444    08 Nov 2024 01:10:37.981      10.536742536    
11 Nov 2024 13:51:53.583    11 Nov 2024 13:53:24.124      90.540410194    
12 Nov 2024 13:40:23.285    12 Nov 2024 13:41:45.993      82.708127692    
15 Nov 2024 01:22:52.760    15 Nov 2024 01:24:18.314      85.553473793    
